POLY_1_1_1;1,667506028;0,10734197;0,783439497
POLY_1_1_2;1,667506028;-0,620084825;-1,142067055
POLY_1_2_3;1,667506028;0,10734197;0,783439497
POLY_1_2_4;1,921803341;0,10734197;0,783439497
POLY_1_3_5;1,921803341;-0,620084825;-1,142067055
POLY_1_3_6;1,921803341;0,10734197;0,783439497
POLY_1_4_7;1,667506028;-0,620084825;-1,142067055
POLY_1_4_8;1,921803341;-0,620084825;-1,142067055
POLY_2_5_9;1,667506028;2,383086316;-0,678277082
POLY_2_5_10;1,667506028;0,10734197;0,783439497
POLY_2_6_11;1,667506028;2,383086316;-0,678277082
POLY_2_6_12;1,921803341;2,383086316;-0,678277082
POLY_2_7_13;1,921803341;0,10734197;0,783439497
POLY_2_7_14;1,921803341;2,383086316;-0,678277082
POLY_2_8_15;1,667506028;0,10734197;0,783439497
POLY_2_8_16;1,921803341;0,10734197;0,783439497
POLY_3_9_17;-2,159443787;0,10734197;0,783439497
POLY_3_9_18;-2,159443787;2,383086316;-0,678277082
POLY_3_10_19;-2,4137411;0,10734197;0,783439497
POLY_3_10_20;-2,159443787;0,10734197;0,783439497
POLY_3_11_21;-2,4137411;2,383086316;-0,678277082
POLY_3_11_22;-2,4137411;0,10734197;0,783439497
POLY_3_12_23;-2,4137411;2,383086316;-0,678277082
POLY_3_12_24;-2,159443787;2,383086316;-0,678277082
POLY_4_13_25;1,667506028;-0,620084825;-1,142067055
POLY_4_13_26;1,667506028;2,383086316;-0,678277082
POLY_4_14_27;1,667506028;-0,620084825;-1,142067055
POLY_4_14_28;1,921803341;-0,620084825;-1,142067055
POLY_4_15_29;1,921803341;2,383086316;-0,678277082
POLY_4_15_30;1,921803341;-0,620084825;-1,142067055
POLY_4_16_31;1,667506028;2,383086316;-0,678277082
POLY_4_16_32;1,921803341;2,383086316;-0,678277082
POLY_5_17_33;-2,159443787;2,383086316;-0,678277082
POLY_5_17_34;-2,159443787;-0,620084825;-1,142067055
POLY_5_18_35;-2,4137411;2,383086316;-0,678277082
POLY_5_18_36;-2,159443787;2,383086316;-0,678277082
POLY_5_19_37;-2,4137411;-0,620084825;-1,142067055
POLY_5_19_38;-2,4137411;2,383086316;-0,678277082
