POLY_0_0_16;23;-40;40;23.7316992428736;-40;39.9616532675779;24.4553818357243;-40;39.8470332051366;25.1631189606247;-40;39.6573956140661;25.8471565015306;-40;39.3948182034982;26.5;-40;39.0621778264911;27.1144967660473;-40;38.6631189606246;27.683914244512;-40;38.2020137783417;28.2020137783418;-40;37.683914244512;28.6631189606247;-40;37.1144967660473;29.0621778264911;-40;36.5;29.3948182034982;-40;35.8471565015306;29.6573956140661;-40;35.1631189606246;29.8470332051367;-40;34.4553818357243;29.9616532675779;-40;33.7316992428736;30;-40;33
POLY_0_0_32;23;40;40;23.7316992428736;40;39.9616532675779;24.4553818357243;40;39.8470332051366;25.1631189606247;40;39.6573956140661;25.8471565015306;40;39.3948182034982;26.5;40;39.0621778264911;27.1144967660473;40;38.6631189606246;27.683914244512;40;38.2020137783417;28.2020137783418;40;37.683914244512;28.6631189606247;40;37.1144967660473;29.0621778264911;40;36.5;29.3948182034982;40;35.8471565015306;29.6573956140661;40;35.1631189606246;29.8470332051367;40;34.4553818357243;29.9616532675779;40;33.7316992428736;30;40;33
POLY_0_0_34;30;14.3780097019778;-33;30;17;-30.3510811688403
POLY_0_0_36;30;17;-30.3510811688403;30;17;-7.105427357601E-15
POLY_0_0_38;30;17;-7.105427357601E-15;30;20;-7.105427357601E-15
POLY_0_0_40;30;20;-7.105427357601E-15;30;20;-33
POLY_0_0_42;30;40;33;30;40;-33
POLY_0_0_44;30;-40;33;30;-40;-7.105427357601E-15
POLY_0_0_46;30;-40;-7.105427357601E-15;30;-37;-1.4210854715202E-14
POLY_0_0_48;30;-37;-1.4210854715202E-14;30;-37;-12.0000000000001
POLY_0_0_50;30;-37;-12.0000000000001;30;-30;-16.6577248518406
POLY_0_0_52;30;-30;-16.6577248518406;30;-37;-25.0000000000001
POLY_0_0_54;30;-37;-25.0000000000001;30;-37;-30.5
POLY_0_0_56;30;-37;-30.5;30;-34.5;-33
POLY_0_0_72;30;20;-33;29.9616532675779;20;-33.7316992428736;29.8470332051366;20;-34.4553818357243;29.6573956140661;20;-35.1631189606246;29.3948182034982;20;-35.8471565015306;29.0621778264911;20;-36.5;28.6631189606246;20;-37.1144967660473;28.2020137783417;20;-37.683914244512;27.683914244512;20;-38.2020137783418;27.1144967660473;20;-38.6631189606246;26.5;20;-39.0621778264911;25.8471565015306;20;-39.3948182034982;25.1631189606246;20;-39.6573956140661;24.4553818357243;20;-39.8470332051366;23.7316992428736;20;-39.9616532675779;23;20;-40
POLY_0_0_88;30;40;-33;29.9616532675779;40;-33.7316992428736;29.8470332051366;40;-34.4553818357243;29.6573956140661;40;-35.1631189606246;29.3948182034982;40;-35.8471565015306;29.0621778264911;40;-36.5;28.6631189606246;40;-37.1144967660473;28.2020137783417;40;-37.683914244512;27.683914244512;40;-38.2020137783418;27.1144967660473;40;-38.6631189606246;26.5;40;-39.0621778264911;25.8471565015306;40;-39.3948182034982;25.1631189606246;40;-39.6573956140661;24.4553818357243;40;-39.8470332051366;23.7316992428736;40;-39.9616532675779;23;40;-40
POLY_0_0_90;23;20;-40;-23;20;-40
POLY_0_0_92;23;40;-40;-23;40;-40
POLY_0_0_108;-23;20;-40;-23.7316992428736;20;-39.9616532675779;-24.4553818357243;20;-39.8470332051366;-25.1631189606246;20;-39.6573956140661;-25.8471565015306;20;-39.3948182034982;-26.5;20;-39.0621778264911;-27.1144967660473;20;-38.6631189606246;-27.683914244512;20;-38.2020137783418;-28.2020137783418;20;-37.683914244512;-28.6631189606247;20;-37.1144967660473;-29.0621778264911;20;-36.5;-29.3948182034982;20;-35.8471565015306;-29.6573956140661;20;-35.1631189606246;-29.8470332051367;20;-34.4553818357243;-29.9616532675779;20;-33.7316992428736;-30;20;-33
POLY_0_0_124;-23;40;-40;-23.7316992428736;40;-39.9616532675779;-24.4553818357243;40;-39.8470332051366;-25.1631189606246;40;-39.6573956140661;-25.8471565015306;40;-39.3948182034982;-26.5;40;-39.0621778264911;-27.1144967660473;40;-38.6631189606246;-27.683914244512;40;-38.2020137783418;-28.2020137783418;40;-37.683914244512;-28.6631189606247;40;-37.1144967660473;-29.0621778264911;40;-36.5;-29.3948182034982;40;-35.8471565015306;-29.6573956140661;40;-35.1631189606246;-29.8470332051367;40;-34.4553818357243;-29.9616532675779;40;-33.7316992428736;-30;40;-33
POLY_0_0_126;-30;17;-30.3510811688403;-30;14.3780097019778;-33
POLY_0_0_128;-30;-34.5;-33;-30;-37;-30.5
POLY_0_0_130;-30;-37;-30.5;-30;-37;-25
POLY_0_0_132;-30;-37;-25;-30;-30;-16.6577248518406
POLY_0_0_134;-30;-30;-16.6577248518406;-30;-37;-12
POLY_0_0_136;-30;-37;-12;-30;-37;2.1316282072803E-14
POLY_0_0_138;-30;-37;2.1316282072803E-14;-30;-40;2.8421709430404E-14
POLY_0_0_140;-30;-40;2.8421709430404E-14;-30;-40;33
POLY_0_0_142;-30;40;-33;-30;40;33
POLY_0_0_144;-30;20;-33;-30;20;2.8421709430404E-14
POLY_0_0_146;-30;20;2.8421709430404E-14;-30;17;2.8421709430404E-14
POLY_0_0_148;-30;17;2.8421709430404E-14;-30;17;-30.3510811688403
